Ward,Sub,Building Name,Building Address,Total Electors,Additions to the Voters List,Deletions to the Voters List,Corrections to the Voters List,School Board - Public,School Board - Catholic,School Board - French Public,School Board - French Catholic,School Board - Non-Resident,Total Eligible Electors,Number Voted,% Voted,Rejected Ballots,Declined Ballots
1,1,Msgr. John Corrigan School,100 Royalcrest Road,1557,15,4,13,1128,368,3,3,67,1569,468,30%,0,0
1,2,John D. Parker Junior School,202 Mount Olive Drive,1666,15,2,4,1200,472,8,0,0,1680,557,33%,0,0
1,3,St. Angela Catholic School,220 Mount Olive Drive,1259,18,4,4,939,331,3,1,2,1276,378,30%,1,0
1,4,10 Markbrook Lane,10 Markbrook Lane,812,33,1,1,757,89,0,0,0,846,264,31%,4,0
1,5,North Kipling Community Centre,2 Rowntree Road,1840,26,5,13,1586,267,5,6,1,1865,334,18%,0,0
1,6,Smithfield Middle School,175 Mount Olive Drive,1954,36,3,25,1412,564,4,5,5,1990,593,30%,2,0
1,7,Claireville Junior School,350 Silverstone Drive,1904,60,10,19,1556,389,7,0,10,1962,596,30%,0,1
1,8,Platinum on the Humber III,1 Rowntree Road,337,16,1,4,319,30,1,1,1,352,120,34%,3,0
1,9,Platinum on the Humber II,3 Rowntree Road,380,19,1,3,323,79,0,0,0,402,111,28%,0,0
1,10,Platinum on the Humber I,5 Rowntree Road,400,17,2,10,350,69,0,0,0,419,112,27%,1,0
1,11,St. Andrew Catholic School,2533 Kipling Avenue,2066,46,11,13,1559,532,1,2,8,2102,460,22%,0,1
1,12,Highfield Junior School,85 Mount Olive Drive,2585,76,14,12,2145,509,0,2,5,2661,624,23%,0,0
1,13,Melody Village Junior Public School,520 Silverstone Drive,1604,26,7,12,1283,329,3,0,16,1631,474,29%,0,0
1,14,Beaumonde Heights Jr. Middle School,70 Monterrey Drive,1688,23,3,7,1228,463,3,7,9,1710,602,35%,6,0
1,15,Thistletown Lutheran Lodge,2715 Islington Avenue,784,29,5,8,541,245,4,2,18,810,215,27%,1,1
1,16,Rowntree Manor,2765 Islington Avenue,352,15,0,7,289,75,1,1,0,366,124,34%,0,0
1,17,St. John Vianney Catholic School,105 Thistle Down Boulevard,1694,15,4,14,929,752,6,14,3,1704,605,36%,0,0
1,18,Thistletown Community Centre,925 Albion Road,844,15,5,6,476,358,4,10,7,855,350,41%,0,0
1,19,Revera West Side,1145 Albion Road,58,22,0,1,62,18,0,0,0,80,25,33%,1,1
1,20,Robert J. Smith Apartments,121 Kendleton Drive,396,19,4,0,381,26,0,2,2,411,119,29%,0,0
1,21,Greenholme Junior Middle School,10 Jamestown Crescent,2148,66,7,3,1655,568,3,1,2,2229,503,23%,0,0
1,22,Elmbank Junior Middle Academy,10 Pittsboro Drive,1849,43,5,8,1487,398,5,9,9,1908,428,22%,0,0
1,23,St. Dorothy Catholic School,155 John Garland Blvd.,841,7,8,10,629,209,0,1,0,839,247,29%,0,0
1,24,Albion Heights Public School,45 Lynmont Road,1627,15,6,9,1185,409,3,4,37,1638,510,31%,0,2
